per capita income
34997
35884
36107
37266
38644
39224
52390
53627
52723
55833
57583
56016
34968
36123
36602
38226
39676
40671
33863
36240
36235
38260
39343
40148
46170
48798
49277
52324
55758
57739
43570
45659
47298
50700
52133
52262
63804
64917
63554
66485
68288
69741
43894
44077
44335
45988
47961
48505
40047
41055
40659
43109
45287
45684
36580
37254
37549
39795
41681
42693
43534
44774
44955
47246
49480
51032
33515
35188
36200
37896
39857
40670
44140
46044
47113
49444
51519
52273
37653
39334
39648
41099
42627
43741
40952
42906
43472
44799
46224
46431
42719
45118
45958
46874
47386
47510
34626
35753
35919
37584
39093
39638
38710
40556
40911
42684
43034
42726
39472
40288
40165
41818
43619
44839
52437
53546
53052
54687
57139
59029
55305
57332
57372
59954
63583
65473
37512
39059
39361
41147
43533
44868
45353
47860
47941
50254
52315
53209
32163
33309
33852
34545
35022
35613
38343
40133
40324
41775
43096
44336
38184
40320
40176
41900
43504
43721
45429
46562
46592
48948
50588
49703
38550
39651
39271
41484
44065
44967
48938
51005
50754
52673
54788
56480
53696
55583
56045
58655
61110
62701
35003
35725
35079
37182
38261
38825
51498
53982
54491
56743
59141
61226
36767
38970
38200
40064
41851
42651
47994
55426
53824
56316
53845
52525
39071
40634
41098
42754
44340
45040
39043
41469
43097
45540
44245
41871
37821
39601
40015
42483
45182
46498
44210
46019
46411
48431
50378
51614
44675
46283
46225
48165
50053
50541
34077
35572
35731
37622
39496
40404
44618
45183
45245
46959
48655
48627
37627
39312
39427
40801
42593
43726
41244
43397
43781
46289
46577
45616
34200
36139
36725
38517
40867
42375
43790
45356
45941
47802
49582
50796
47775
49585
48855
50754
52892
53605
44709
47768
48304
51518
53840
55884
34131
35118
34946
36153
36915
36931
41178
43034
43184
44939
46681
47550
49992
53527
52892
56708
57101
54610
