alcohol_consumption
1.98
2.0
1.99
2.0
2.01
2.01
2.86
2.83
2.75
2.79
2.84
2.94
2.39
2.43
2.36
2.37
2.34
2.31
1.72
1.81
1.81
1.79
1.83
1.8
2.25
2.35
2.33
2.32
2.28
2.33
2.73
2.76
2.81
2.77
2.77
2.81
2.35
2.39
2.37
2.37
2.41
2.45
3.55
3.59
3.59
3.59
3.65
3.72
2.54
2.72
2.72
2.59
2.6
2.65
1.98
1.98
1.97
1.96
1.94
1.94
2.52
2.54
2.56
2.59
2.6
2.63
2.65
2.77
2.81
2.82
2.87
2.92
2.35
2.36
2.33
2.32
2.36
2.32
2.02
2.08
2.09
2.05
2.14
2.17
2.37
2.4
2.34
2.37
2.36
2.4
1.9
1.95
1.88
1.93
1.91
1.92
1.79
1.87
1.85
1.88
1.97
1.98
2.57
2.59
2.58
2.58
2.59
2.59
2.6
2.65
2.69
2.71
2.78
2.81
2.19
2.2
2.17
2.15
2.14
2.15
2.54
2.57
2.56
2.55
2.52
2.57
2.25
2.27
2.24
2.32
2.25
2.34
2.47
2.71
2.72
2.81
2.73
2.77
2.22
2.24
2.24
2.23
2.24
2.23
2.45
2.42
2.44
2.4
2.53
2.49
2.97
3.07
3.07
3.08
3.09
3.11
2.28
2.31
2.31
2.3
2.27
2.23
3.35
3.27
3.31
3.36
3.33
3.46
4.77
4.65
4.68
4.54
4.72
4.76
2.36
2.39
2.36
2.37
2.36
2.34
2.35
2.36
2.35
2.42
2.11
2.27
2.11
2.17
2.21
2.2
2.18
2.22
2.01
2.05
2.03
2.06
2.1
2.13
3.18
3.42
3.38
3.41
3.25
3.26
2.02
2.03
2.04
2.03
2.03
2.04
1.92
1.94
1.93
1.91
1.89
1.88
2.59
2.66
2.66
2.7
2.71
2.75
2.33
2.34
2.33
2.34
2.33
2.36
2.55
2.58
2.56
2.39
2.52
2.57
2.31
2.32
2.31
2.28
2.25
2.22
2.77
2.76
2.81
2.74
2.79
2.87
2.04
2.0
2.0
2.02
2.06
2.14
2.27
2.28
2.25
2.24
2.29
2.34
1.36
1.37
1.36
1.37
1.39
1.34
2.85
2.92
3.0
3.05
3.07
3.08
2.12
2.12
2.1
2.11
2.13
2.14
2.26
2.26
2.26
2.24
2.25
2.25
1.78
1.8
1.8
1.78
1.78
1.76
2.98
3.02
2.99
2.97
2.98
2.98
2.66
2.73
2.67
2.72
2.74
2.67
